true_gloss,pred_gloss,count
accident,fine,1
accident,like,1
africa,hot,1
all,dance,1
all,last,1
apple,accident,1
basketball,before,1
bed,before,1
bed,decide,1
before,pull,1
bird,before,1
bird,drink,1
birthday,before,1
birthday,thanksgiving,1
black,before,1
black,like,1
black,wrong,1
blue,before,1
bowling,before,1
brown,before,1
brown,yes,1
but,cheat,1
can,dark,1
chair,cheat,1
chair,meet,1
change,can,1
change,cheat,1
city,cheat,1
city,doctor,1
clothes,cheat,1
clothes,secretary,1
color,cheat,1
computer,cheat,1
computer,now,1
cook,cheat,1
cook,doctor,1
cool,black,1
cool,corn,1
cool,cow,1
corn,shirt,1
cousin,hearing,1
cow,cheat,1
cow,later,1
dance,doctor,1
dark,want,1
deaf,doctor,1
deaf,thanksgiving,1
deaf,yes,1
decide,bird,1
decide,doctor,1
drink,color,1
drink,cousin,1
eat,thin,1
enjoy,thin,1
family,thin,1
fine,black,1
finish,birthday,1
finish,mother,1
finish,thin,1
fish,deaf,1
fish,meet,1
fish,thin,1
full,doctor,1
full,play,1
give,candy,1
go,before,1
graduate,before,1
hat,dog,1
hat,pull,1
help,dog,1
help,last,1
hot,dog,1
how,dog,1
how,finish,1
how,now,1
jacket,dog,1
kiss,city,1
kiss,dog,1
language,dance,1
last,dance,1
last,study,1
letter,doctor,1
letter,year,1
like,hot,1
like,later,1
man,doctor,1
man,now,1
many,decide,1
many,doctor,1
many,now,1
meet,doctor,1
meet,study,1
mother,doctor,1
mother,fine,1
need,black,1
need,dog,1
no,bird,1
no,dog,1
now,dog,1
now,right,1
orange,dog,1
orange,thanksgiving,1
paint,pink,1
paper,pink,1
pink,dog,1
pink,thanksgiving,1
pizza,bird,1
pizza,pink,1
pizza,year,1
play,family,1
play,last,1
pull,pink,1
pull,school,1
purple,hot,1
purple,pink,1
same,dog,1
school,can,1
school,short,1
secretary,decide,1
secretary,give,1
son,short,1
study,short,1
table,before,1
tall,dog,1
tall,thin,1
tell,hot,1
tell,thin,1
thin,birthday,1
thin,pull,1
thursday,doctor,1
thursday,thin,1
time,thin,1
walk,decide,1
walk,language,1
want,before,1
want,language,1
what,work,1
white,language,1
who,cousin,1
who,language,1
woman,language,1
woman,thursday,1
woman,yes,1
work,language,1
work,play,1
wrong,language,1
year,hot,1
year,school,1
year,son,1
yes,school,1
yes,work,1
